Expenditures 2009,Department Description,Expenditures 2008,Appropriations 1995,Appropriations 1994,Appropriations 1997,Appropriations 1996,Appropriations 1993,Department,Appropriations 1999,Appropriations 1998,Expenditures 2005,Expenditures 2004,Expenditures 2007,Expenditures 2006,Expenditures 2001,Expenditures 2000,Expenditures 2003,Expenditures 2002,Department ID,Appropriations 2014,Appropriations 2017,Appropriations 2016,Appropriations 2011,Appropriations 2010,Appropriations 2013,Appropriations 2012,Fund,Control Officer,Expenditures 1995,Expenditures 1998,Expenditures 1999,Expenditures 1996,Expenditures 1997,Expenditures 1994,Link to Website,Expenditures 1993,Expenditures 2015,Appropriations 2015,Expenditures 2016,Expenditures 2014,Appropriations 2009,Expenditures 2012,Expenditures 2013,Expenditures 2010,Expenditures 2011,Appropriations 2002,Appropriations 2003,Appropriations 2000,Appropriations 2001,Appropriations 2006,Appropriations 2007,Appropriations 2004,Appropriations 2005,Appropriations 2008,Short Title
1571846.5,The Department of Budget and Management Services is responsible for preparing and monitoring the Annual Appropriation Bill of Cook County and coordinates the development of annual and long-term budgetary projections.The Department also coordinates the budgetary and central reporting for all grants awarded to County departments or agencies and the capital equipment program in the County. It also provides ongoing management services to department management.,1422540.11,1227102,1408910,1166634,1102713,1330039,Budget and Management Services,1310399,1251612,1398041,1482015,1141492,1377085.36,1477323,1330217.54,1492614.62,1480327,14,1466716,1941500,1629836,1149142,1561525,1468787,1154277,Corporate Fund,President,1085513,1213648.29,1236658,1030950,1139576.64,1225167,https://www.cookcountyil.gov/agency/budget-and-management-services,1078599,1538257.06,1547069,1773138.14,1490353.06,1596854,1291977.36,1620051.45,1341534.39,1149439.66,1468555,1579838,1456757,1500182,1414476,1020074,1626801,1417831,1604800,Budget
2707270.05,The Department of IT Solutions and Services was merged into Enterprise Technology in FY15.,2413950.65,3353607,4225461,3637075,3354980,3361728,IT Solutions & Services,5331901,3891652,4643697,5585325,3522577,5311980.94,5280935,6061762.84,5579307.72,5787715,16,6649562,0,0,5790513,2632720,6292361,5063644,Corporate Fund,President,2959877,3661918.9,3892587,3061167,3198337.71,3943986,,3038065,0,0,0,6660672.27,2702343,4873475.7,6283652.27,2518363.36,5552290.66,6339994,6674503,6240960,6210253,5500596,3650374,6538949,5548040,2112300,IT Solutions
1201495.48,"The Office of the Secretary to the Board is responsible in assisting the Board of Commissioners in performing their duties pursuant to County Ordinance and Board Rules. Initially County Commissioners office budgets were appropriated through the Secretary to the Board's budget, though since 2009 they are broken out by Commissioner.",1167441.99,4920841,3376725,5719093,5038225,3276463,Office of the Secretary to the Board of Commissioners,6605503,5961315,7070172,7973498,6281481,7070650.7,6829322,6476504.05,7498583.95,6921180,18,1097956,2089908,908996,1114619,1207483,1034175,1037415,Corporate Fund,County Commissioners,4436209,5345515.57,5981340,4622369,5002127.81,3320622,https://www.cookcountyil.gov/agency/office-secretary-board-commissioners,3160668,821929.83,908322,847538.51,1054243.39,1063385,1017849.74,984719.13,1155555.97,924928.63,7595480,8406664,7084778,7438915,7755240,6483338,8661036,7424132,1190705,Secretary to the Board
194485.64,"The Employee Appeals Board is charged with hearing all appeals of any career service employee, not represented by a union, for disciplinary action relating to discharge, demotion or suspension for a period of more than ten (10) days, upon the request of the employee, to assure fair and equitable treatment of employees in a professional manner.",204007.14,92008,90807,154831,99365,115473,Employee Appeals Board,154831,154831,193936,232606,199191,201718.33,193206,134980.93,232794.4,217266,19,65251,91439,100870,168749,207184,143959,148510,Corporate Fund,President,81009,104028.26,109229,95549,102061.99,75883,https://www.cookcountyil.gov/agency/employee-appeals-board,113762,58891.63,70000,71207.47,49730.5,199044,132808.83,65753.67,206335.68,154511.39,222877,227881,161147,219675,200352,162946,240723,201102,202500,Employee Appeals
3138512.02,"The Office of the County Comptroller, in conjunction with the Chief Financial Officer, is responsible for the preparation and distribution of certain financial reports to Bureau Management, the Cook County Board of Commissioners and the Cook County Health and Hospitals System Board. The Cook County Comptroller administers the Accounts Payable, Payroll, General Ledger and Financial Reporting functions for Cook County.",3093425.35,2655555,2333183,2746077,2555761,2393986,County Comptroller,3036516,2960236,2894749,3320959,2748987,2832114.66,3248433,3045888.88,3315240.54,3309909,20,2997468,3733582,3250938,2430050,3245356,2734833,2599075,Corporate Fund,President,2451892,2603008.84,2853597,2457082,2501050.86,2319592,https://www.cookcountyil.gov/agency/comptroller,2277077,3015536.43,3120646,3143207.83,2923212.08,3150831,2506787.48,2699699.98,2936874.01,2637064.08,3524600,3727100,3342301,3526191,3155168,2946324,3928851,3133315,3175000,Comptroller
390856.17,The Office of the Chief Financial Officer is responsible for the financial management of Cook County.  The office manages and coordinates the County's financial activities,596958.17,413983,337973,422549,412362,325119,Office of the Chief Financial Officer,445169,414489,404768,378875,356425,456484.2,475877,420591.41,465459.75,435225,21,1112619,1321387,1015913,808432,925592,1015010,825151,Corporate Fund,President,188122,358668.9,311981,311293,335613.92,337461,https://www.cookcountyil.gov/agency/bureau-finance-3,313275,996263.93,1002325,1025351.92,1080039.7,432154,927311.22,1014771,832960.44,697572.87,521450,554729,474432,531559,514036,380895,572683,423371,613900,Financial Officer
845193.99,The responsibilities of the Office of Contract Compliance include but are not limited to devising certification procedures to assure that qualified Minority and Women Owned Businesses are certified.,802604.4,689174,596569,678051,644899,571089,Contract Compliance,817315,780303,928148,1068965,732719,874505.4,805047,747959.39,976945.64,866698,22,770724,1036953,859325,799621,824931,640588,751145,Corporate Fund,President,570296,675648.66,735470,559566,599161.96,536895,https://www.cookcountyil.gov/agency/contract-compliance,454421,770484.05,782026,809087.74,758828.84,868349,737239.21,658274,864853.59,786501.32,965585,1052123,904061,968361,905996,689306,1141227,960837,893000,Contract Compliance
1179504.31,This department merged for FY2011 into Department of IT Solutions and Services (016),1248589.01,0,0,0,0,0,Enterprise Technology,1628544,0,1688514,2157227,1602441,1759646.27,1611403,1547516.52,1445381.78,1731863,23,0,0,0,0,1297496,0,0,Corporate Fund,President,0,0,1099648,0,0,0,,0,0,0,0,0,1642844,0,0,1137286.64,0,2255628,2268617,2155600,2345884,1955019,1568737,2440254,1994715,1550400,Enterprise Technology
445704.46,"Administrative Hearings administers the adjudication process for the Revenue Department as well as departments including Building and Zoning, Environmental Control,  Animal Control and the Sheriff.",0,0,0,0,0,0,Administrative Hearing Board,0,0,0,0,0,0,0,0,0,0,26,1232356,1475167,1315813,951954,927010,1223074,995750,Corporate Fund,President,0,0,0,0,0,0,https://www.cookcountyil.gov/agency/department-administrative-hearings-0,0,1143085.67,1240008,1256610.04,1127155.95,443758,1081774.25,1152272.6,841542.49,998888.3,0,0,0,0,0,0,0,0,0,Adminitrative Hearings
0,"The Office of Economic Development foster economic development, workforce development and community development within Cook County.",0,0,0,0,0,0,Office of Economic Development,0,0,0,0,0,0,0,0,0,0,27,787462,985463,589779,0,0,709684,1333423,Corporate Fund,President,0,0,0,0,0,0,https://www.cookcountyil.gov/bureau-of-economic-development,0,433303.67,406838,986795.67,721740.18,0,838851.9,652131.45,0,0,0,0,0,0,0,0,0,0,0,Economic Developmment
0,"Enterprise Resource Planning, or ERP,  is charged with implementing and supporting Countywide financial system projects to improve business operations.",0,0,0,0,0,0,Office of Enterprise Resource Planning (ERP),0,0,0,0,0,0,0,0,0,0,29,0,1874290,1646778,0,0,0,0,Corporate Fund,President,0,0,0,0,0,0,https://www.cookcountyil.gov/agency/enterprise-resource-planning,0,1470236.04,1777124,1564144.38,18839.77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Enterprise Resource Planning (ERP)
2315939.61,The Office of the Chief Procurement Officer's mission is to procure goods and services required by Cook County Agencies in conformance with all laws and ordinances while obtaining maximum efficiencies and providing greater transparency in a fair and equitable procurement process.,2158672,2851082,2999794,3001718,2797506,2910732,County Chief Procurement Office,2972730,3078528,2670896,3180125,2243500,2549132.15,3246145,3081367.44,3190990.63,3248574,30,2754224,3421315,2923075,2098189,2279137,2466916,1648867,Corporate Fund,President,2355962,2525461.73,2822119,2355746,2521502.59,2680656,https://www.cookcountyil.gov/procurement,2559685,2671035.96,2790064,2797778.33,2624425.93,2118432,1555488.79,3040460.18,1948643.85,1939335,3369069,3469850,3284587,3526637,2762037,2024997,3433216,2833629,2163500,Procurement
1919414.42,The Office of Capital Planning & Policy has become the Office of Asset Management as its own bureau in FY2015.,1665987.9,1015687,631532,1305255,1211089,558874,Office of Asset Management,1467885,1312356,1546153,1691073,1302717,1462121.2,1626714,1578500.69,1598935.59,1597367,31,1405937,3043476,2251230,1625873,2128706,1113829,929707,Corporate Fund,President,771385,1125226.88,1336713,919981,1134266.09,453192,https://www.cookcountyil.gov/agency/bureau-asset-management-4,424783,1865457.88,2144221,2151846.21,1424412.32,1897738,945429.06,1066918.47,1996539.68,1267423.18,1832320,1891467,1726877,1864083,1640986,1260168,1876141,1558201,2120600,Asset Management
3209491.56,"The Department of Human Resources directs and coordinates all human resource activities from those departments under the jurisdiction of the President of the Cook County Board. These activities include, but are not limited to providing and accepting employment applications for jobs currently posted, as well as maintaining an applicant tracking system which monitors the status of job applications which have been filed with the Department.",3131358.89,4259686,4351324,3999001,3912035,4643983,Department of Human Resources,4269183,4057841,3569802,4053127,3103908,3441345.64,4414916,4184692.97,4230300.13,4204987,32,3985686,5058482,4295374,2772606,3385312,3569611,2998748,Corporate Fund,President,3270767,3503639.61,3927221,3464501,3532427.81,3259269,https://www.cookcountyil.gov/agency/bureau-human-resources-0,3080423,4005362.36,4170784,4008897.12,4000333.11,3264600,2974080.19,3393086.87,3418752.69,2941557.51,4443139,4423062,4504598,4553074,3811148,3344639,4430913,3775539,3423800,Human Resources
27181085.61,"The Cook County Assessor's Office is responsible for determining fair assessments on all residential, commercial and industrial property in Cook County. Each parcel is reassessed once every three years. The Assessor's Office also administers a variety of exemptions providing relief to senior citizens and all Cook County Homeowners, as well as incentives encouraging development throughout Cook County.",22281397.64,21452639,20381551,23813968,21128613,21071782,County Assessor,24486793,23974514,24501126,29007209,21608877,24183766,26440039,25584283.92,28397558.78,27210183,40,24624799,26759757,24647431,22170253,27209441,22737234,21582137,Corporate Fund,Assessor,21079576,21997668.55,23871992,20924055,22423783.54,20193626,http://www.cookcountyassessor.com/,19706497,22067770.2,24438754,21990175.54,23072443.49,23691705,21667543.44,22240078.72,25380951.12,22850880.23,27937965,30575468,26885501,28130005,25331051,22077228,30920526,25850013,23712800,Assessor
7543229.76,"The Board of Review is vested with quasi-judicial powers to hear and decide taxpayer complaints on the value or exempt status of real property, which includes residential, commercial, industrial and condominium property, along with vacant land.",7293723.22,4920290,4409209,5624795,4942188,4353778,Board of Review,7578876,6204213,7583620,8675201,6754474,7384640.47,7346646,7362453.14,8108729.1,7680163,50,8233141,11450557,8965108,6771874,8311088,8226970,7679750,Corporate Fund,Board of Review,4276742,5406805.73,6541517,4450981,4820104.17,3540401,http://www.cookcountyboardofreview.com/,3599419,8644359.56,8506129,9027612.93,8364300.85,7185494,7824772.89,8319284.91,8091878.17,6957462.37,8233662,8544899,7985200,8020852,7416991,6835808,8899177,7601734,6973600,Board of Review
5854225.79,"The Cook County Treasurer's Office has the primary goals of mailing, collecting, investing, and distributing all real estate taxes for the county of cook. The Treasurer's Office prints and mails the real estate tax bills to the taxpayers of record.",6290289.97,9875687,9535490,10495359,9892418,9543307,County Treasurer,11491108,10682523,11279565,13051838,9631559,10461095.35,13100351,12443899.26,13111094.53,13066537,60,1952814,1295513,1150893,5188503,5474200,3917499,4853014,Corporate Fund,Treasurer,9636886,10312603.41,11373592,9379000,9907815.35,9436618,http://www.cookcountytreasurer.com/,8967841,1206993.66,1305389,1094929.49,1767271.64,5899158,4745395.23,3808797.57,5248665.77,4871929.18,14102105,13829482,13326063,14257560,10757649,9869979,13349193,11540109,6120500,Treasurer
782619.47,"The County Auditor's Office is responsible for auditing the financial records of all County fee departments. The Auditor works with the external auditors on the Countys annual financial audit, and performs audits of information systems in the County.",759184.72,1298267,1096601,1600641,1387423,1131097,County Auditor,1596115,1589224,1299966,1540794,1100886,1309577.39,1456036,1299129.1,1519691.59,1478455,70,887093,1156048,934930,781115,918433,903832,737420,Corporate Fund,President,1176492,1494894.31,1229834,1286299,1507111.17,1107704,https://www.cookcountyil.gov/agency/auditor-0,1016815,813769.17,917145,909587.41,882506.03,966771,731614.21,639720.57,818846.1,776128.17,1653786,1654557,1664302,1702239,1353750,1101966,1651033,1400784,1109600,Auditor
538191.64,"The mission of the OIIG is to detect, deter and prevent corruption, fraud, waste, mismanagement, unlawful political discrimination and misconduct in the operation of Cook County government.",371936.91,0,0,260575,0,0,Office of the Independent Inspector General,299391,301288,386942,401859,382709,387955.45,276949,381186.73,383238.09,212430,80,1772838,2141987,2032335,1572034,1214465,1713509,1719871,Corporate Fund,President,0,258439.08,308793,0,8177.84,0,https://www.cookcountyil.gov/agency/office-independent-inspector-general-0,0,1596434.9,1843297,1857154.62,1722458.74,1382092,1261842.58,1347514.14,889089.11,1024426.89,385224,415688,377067,395272,387804,391824,458543,387804,1078500,Inspector General
395722.43,"The County Commissioners are elected officials who oversee county activities and work to ensure that citizens concerns are met, federal and state requirements are fulfilled and county operations run smoothly",394686,0,0,0,0,0,First District -Office of the County Commissioner,0,0,0,0,0,0,0,0,0,0,81,358726,400000,378176,360000,434462,358726,359673,Corporate Fund,County Commissioners,0,0,0,0,0,0,https://www.cookcountyil.gov/person/richard-boykin,0,340873.66,386403,357793.24,358975.84,396797,354983.82,357471.59,421458.28,354240.9,0,0,0,0,0,0,0,0,391045,District 1
389476.33,"County Commissioners are elected officials who oversee county activities and work to ensure that citizens concerns are met, federal and state requirements are fulfilled and county operations run smoothly",359896,0,0,0,0,0,Second District -Office of the County Commissioner,0,0,0,0,0,0,0,0,0,0,82,358905,400000,394608,360000,395781,358905,359673,Corporate Fund,County Commissioners,0,0,0,0,0,0,https://www.cookcountyil.gov/person/robert-b-steele,0,366715.44,385844,327011.61,348194.37,393748,355468.82,349134.46,383931.11,346522.42,0,0,0,0,0,0,0,0,395320,District 2
292463.85,"County Commissioners are elected officials who oversee county activities and work to ensure that citizens concerns are met, federal and state requirements are fulfilled and county operations run smoothly",270749,0,0,0,0,0,Third District -Office of the County Commissioner,0,0,0,0,0,0,0,0,0,0,83,358820,400000,394608,360000,348624,359007,359007,Corporate Fund,County Commissioners,0,0,0,0,0,0,https://www.cookcountyil.gov/person/jerry-butler,0,313642.22,386050,325228.26,306424.16,364831,259518.42,290407.3,288759.09,238734.9,0,0,0,0,0,0,0,0,391120,District 3
362116.9,"County Commissioners are elected officials who oversee county activities and work to ensure that citizens concerns are met, federal and state requirements are fulfilled and county operations run smoothly",357519,0,0,0,0,0,Fourth District -Office of the County Commissioner,0,0,0,0,0,0,0,0,0,0,84,358775,400000,396549,360000,371079,358740,358740,Corporate Fund,County Commissioners,0,0,0,0,0,0,https://www.cookcountyil.gov/person/stanley-moore,0,361273.27,386197,384797.75,356858.95,368333,351196.69,356854.58,356383.02,344527.8,0,0,0,0,0,0,0,0,390956,District 4
431089.08,"County Commissioners are elected officials who oversee county activities and work to ensure that citizens concerns are met, federal and state requirements are fulfilled and county operations run smoothly",395416,0,0,0,0,0,Fifth District -Office of the County Commissioner,0,0,0,0,0,0,0,0,0,0,85,358558,400000,397347,360000,432033,358558,359673,Corporate Fund,County Commissioners,0,0,0,0,0,0,https://www.cookcountyil.gov/person/deborah-sims-0,0,378055.47,386227,393687.81,357085.39,406105,357713.2,357609.89,419016.91,364354.05,0,0,0,0,0,0,0,0,390955,District 5
396967.75,"County Commissioners are elected officials who oversee county activities and work to ensure that citizens concerns are met, federal and state requirements are fulfilled and county operations run smoothly",395323,0,0,0,0,0,Sixth District -Office of the County Commissioner,0,0,0,0,0,0,0,0,0,0,86,358583,400000,392987,360000,433607,358583,359673,Corporate Fund,County Commissioners,0,0,0,0,0,0,https://www.cookcountyil.gov/person/edward-m-moody,0,373004.76,386375,366809.21,351805.93,394103,354675.16,354202.79,417754.29,345128.68,0,0,0,0,0,0,0,0,390712,District 6
461990.74,"County Commissioners are elected officials who oversee county activities and work to ensure that citizens concerns are met, federal and state requirements are fulfilled and county operations run smoothly",376091,0,0,0,0,0,Seventh District -Office of the County Commissioner,0,0,0,0,0,0,0,0,0,0,87,359052,400000,396957,360000,474138,359052,358819,Corporate Fund,County Commissioners,0,0,0,0,0,0,https://www.cookcountyil.gov/person/jesus-g-garcia,0,370001.52,386052,389334.69,332532.36,472105,341582.85,340367.35,483765.93,335992.68,0,0,0,0,0,0,0,0,379332,District 7
357426.63,"County Commissioners are elected officials who oversee county activities and work to ensure that citizens concerns are met, federal and state requirements are fulfilled and county operations run smoothly",393013,0,0,0,0,0,Eighth District -Office of the County Commissioner,0,0,0,0,0,0,0,0,0,0,88,358847,400000,392596,360000,428833,358919,358904,Corporate Fund,County Commissioners,0,0,0,0,0,0,https://www.cookcountyil.gov/person/luis-arroyo-jr,0,316495.4,364350,374580.56,310597.72,377122,309742.07,329485.35,358524.19,316361.15,0,0,0,0,0,0,0,0,387955,District 8
381026,"County Commissioners are elected officials who oversee county activities and work to ensure that citizens concerns are met, federal and state requirements are fulfilled and county operations run smoothly",392786,0,0,0,0,0,Ninth District -Office of the County Commissioner,0,0,0,0,0,0,0,0,0,0,89,358683,400000,395415,360000,363399,358683,358688,Corporate Fund,County Commissioners,0,0,0,0,0,0,https://www.cookcountyil.gov/person/peter-n-silvestri,0,385858.37,386110,369834.11,359578.67,380306,355082.39,357830.38,354033.28,350162.43,0,0,0,0,0,0,0,0,386392,District 9
294854.69,"County Commissioners are elected officials who oversee county activities and work to ensure that citizens concerns are met, federal and state requirements are fulfilled and county operations run smoothly",341532,0,0,0,0,0,Tenth District -Office of the County Commissioner,0,0,0,0,0,0,0,0,0,0,90,358903,400000,360003,360000,346585,358928,359115,Corporate Fund,County Commissioners,0,0,0,0,0,0,https://www.cookcountyil.gov/person/bridget-gainer-0,0,334176.28,365075,291791.3,296417.49,363975,344657.39,295840.67,314578.33,314967.33,0,0,0,0,0,0,0,0,376520,District 10
384495.02,"County Commissioners are elected officials who oversee county activities and work to ensure that citizens concerns are met, federal and state requirements are fulfilled and county operations run smoothly",373517,0,0,0,0,0,Eleventh District -Office of the County Commissioner,0,0,0,0,0,0,0,0,0,0,91,499597,400000,503076,500606,534948,499597,499597,Corporate Fund,County Commissioners,0,0,0,0,0,0,https://www.cookcountyil.gov/person/john-p-daley,0,262891.78,507510,200051.85,264713.63,560961,265893.83,262906.36,378687.56,279479.41,0,0,0,0,0,0,0,0,649050,District 11
306880.01,"County Commissioners are elected officials who oversee county activities and work to ensure that citizens concerns are met, federal and state requirements are fulfilled and county operations run smoothly",339917,0,0,0,0,0,Twelfth District -Office of the County Commissioner,0,0,0,0,0,0,0,0,0,0,92,358757,400000,395802,360000,334649,358757,359154,Corporate Fund,County Commissioners,0,0,0,0,0,0,https://www.cookcountyil.gov/person/john-fritchey,0,297192.19,386287,334001.18,354117.64,350122,336513.27,353688.11,255586.89,309867.06,0,0,0,0,0,0,0,0,382982,District 12
365848.9,"County Commissioners are elected officials who oversee county activities and work to ensure that citizens concerns are met, federal and state requirements are fulfilled and county operations run smoothly",358082,0,0,0,0,0,Thirteenth District -Office of the County Commissioner,0,0,0,0,0,0,0,0,0,0,93,358692,400000,399616,360000,363082,358865,358800,Corporate Fund,County Commissioners,0,0,0,0,0,0,https://www.cookcountyil.gov/person/larry-suffredin,0,350576.97,386095,366909.52,343505.19,366549,316875.11,339047.55,356606.1,315471.43,0,0,0,0,0,0,0,0,376055,District 13
330786.74,"County Commissioners are elected officials who oversee county activities and work to ensure that citizens concerns are met, federal and state requirements are fulfilled and county operations run smoothly",327903,0,0,0,0,0,Fourteenth District -Office of the County Commissioner,0,0,0,0,0,0,0,0,0,0,94,358732,400000,398182,360000,409083,358732,358808,Corporate Fund,County Commissioners,0,0,0,0,0,0,https://www.cookcountyil.gov/person/gregg-goslin,0,353538.06,386164,361351.19,344881.36,428474,340279.75,342038.57,353448.99,318552.07,0,0,0,0,0,0,0,0,442426,District 14
