"Fund","Department ID","Department","Short Title","Link to Website","Department Description","Control Officer","Appropriations 1993","Appropriations 1994","Appropriations 1995","Appropriations 1996","Appropriations 1997","Appropriations 1998","Appropriations 1999","Appropriations 2000","Appropriations 2001","Appropriations 2002","Appropriations 2003","Appropriations 2004","Appropriations 2005","Appropriations 2006","Appropriations 2007","Appropriations 2008","Appropriations 2009","Appropriations 2010","Appropriations 2011","Appropriations 2012","Appropriations 2013","Appropriations 2014","Appropriations 2015","Appropriations 2016","Appropriations 2017","Expenditures 1993","Expenditures 1994","Expenditures 1995","Expenditures 1996","Expenditures 1997","Expenditures 1998","Expenditures 1999","Expenditures 2000","Expenditures 2001","Expenditures 2002","Expenditures 2003","Expenditures 2004","Expenditures 2005","Expenditures 2006","Expenditures 2007","Expenditures 2008","Expenditures 2009","Expenditures 2010","Expenditures 2011","Expenditures 2012","Expenditures 2013","Expenditures 2014","Expenditures 2015","Expenditures 2016"
"Corporate Fund",14,"Budget and Management Services","Budget","https://www.cookcountyil.gov/agency/budget-and-management-services","The Department of Budget and Management Services is responsible for preparing and monitoring the Annual Appropriation Bill of Cook County and coordinates the development of annual and long-term budgetary projections.The Department also coordinates the budgetary and central reporting for all grants awarded to County departments or agencies and the capital equipment program in the County. It also provides ongoing management services to department management.","President",1330039,1408910,1227102,1102713,1166634,1251612,1310399,1456757,1500182,1468555,1579838,1626801,1417831,1414476,1020074,1604800,1596854,1561525,1149142,1154277,1468787,1466716,1547069,1629836,1941500,1078599,1225167,1085513,1030950,1139576.64,1213648.29,1236658,1330217.54,1477323,1480327,1492614.62,1482015,1398041,1377085.36,1141492,1422540.11,1571846.5,1341534.39,1149439.66,1291977.36,1620051.45,1490353.06,1538257.06,1773138.14
"Corporate Fund",16,"IT Solutions & Services","IT Solutions",,"The Department of IT Solutions and Services was merged into Enterprise Technology in FY15.","President",3361728,4225461,3353607,3354980,3637075,3891652,5331901,6240960,6210253,6339994,6674503,6538949,5548040,5500596,3650374,2112300,2702343,2632720,5790513,5063644,6292361,6649562,0,0,0,3038065,3943986,2959877,3061167,3198337.71,3661918.9,3892587,6061762.84,5280935,5787715,5579307.72,5585325,4643697,5311980.94,3522577,2413950.65,2707270.05,2518363.36,5552290.66,4873475.7,6283652.27,6660672.27,0,
"Corporate Fund",18,"Office of the Secretary to the Board of Commissioners","Secretary to the Board","https://www.cookcountyil.gov/agency/office-secretary-board-commissioners","The Office of the Secretary to the Board is responsible in assisting the Board of Commissioners in performing their duties pursuant to County Ordinance and Board Rules. Initially County Commissioners office budgets were appropriated through the Secretary to the Board's budget, though since 2009 they are broken out by Commissioner.","County Commissioners",3276463,3376725,4920841,5038225,5719093,5961315,6605503,7084778,7438915,7595480,8406664,8661036,7424132,7755240,6483338,1190705,1063385,1207483,1114619,1037415,1034175,1097956,908322,908996,2089908,3160668,3320622,4436209,4622369,5002127.81,5345515.57,5981340,6476504.05,6829322,6921180,7498583.95,7973498,7070172,7070650.7,6281481,1167441.99,1201495.48,1155555.97,924928.63,1017849.74,984719.13,1054243.39,821929.83,847538.51
"Corporate Fund",19,"Employee Appeals Board","Employee Appeals","https://www.cookcountyil.gov/agency/employee-appeals-board","The Employee Appeals Board is charged with hearing all appeals of any career service employee, not represented by a union, for disciplinary action relating to discharge, demotion or suspension for a period of more than ten (10) days, upon the request of the employee, to assure fair and equitable treatment of employees in a professional manner.","President",115473,90807,92008,99365,154831,154831,154831,161147,219675,222877,227881,240723,201102,200352,162946,202500,199044,207184,168749,148510,143959,65251,70000,100870,91439,113762,75883,81009,95549,102061.99,104028.26,109229,134980.93,193206,217266,232794.4,232606,193936,201718.33,199191,204007.14,194485.64,206335.68,154511.39,132808.83,65753.67,49730.5,58891.63,71207.47
"Corporate Fund",20,"County Comptroller","Comptroller","https://www.cookcountyil.gov/agency/comptroller","The Office of the County Comptroller, in conjunction with the Chief Financial Officer, is responsible for the preparation and distribution of certain financial reports to Bureau Management, the Cook County Board of Commissioners and the Cook County Health and Hospitals System Board. The Cook County Comptroller administers the Accounts Payable, Payroll, General Ledger and Financial Reporting functions for Cook County.","President",2393986,2333183,2655555,2555761,2746077,2960236,3036516,3342301,3526191,3524600,3727100,3928851,3133315,3155168,2946324,3175000,3150831,3245356,2430050,2599075,2734833,2997468,3120646,3250938,3733582,2277077,2319592,2451892,2457082,2501050.86,2603008.84,2853597,3045888.88,3248433,3309909,3315240.54,3320959,2894749,2832114.66,2748987,3093425.35,3138512.02,2936874.01,2637064.08,2506787.48,2699699.98,2923212.08,3015536.43,3143207.83
"Corporate Fund",21,"Office of the Chief Financial Officer","Financial Officer","https://www.cookcountyil.gov/agency/bureau-finance-3","The Office of the Chief Financial Officer is responsible for the financial management of Cook County.  The office manages and coordinates the County's financial activities","President",325119,337973,413983,412362,422549,414489,445169,474432,531559,521450,554729,572683,423371,514036,380895,613900,432154,925592,808432,825151,1015010,1112619,1002325,1015913,1321387,313275,337461,188122,311293,335613.92,358668.9,311981,420591.41,475877,435225,465459.75,378875,404768,456484.2,356425,596958.17,390856.17,832960.44,697572.87,927311.22,1014771,1080039.7,996263.93,1025351.92
"Corporate Fund",22,"Contract Compliance","Contract Compliance","https://www.cookcountyil.gov/agency/contract-compliance","The responsibilities of the Office of Contract Compliance include but are not limited to devising certification procedures to assure that qualified Minority and Women Owned Businesses are certified.","President",571089,596569,689174,644899,678051,780303,817315,904061,968361,965585,1052123,1141227,960837,905996,689306,893000,868349,824931,799621,751145,640588,770724,782026,859325,1036953,454421,536895,570296,559566,599161.96,675648.66,735470,747959.39,805047,866698,976945.64,1068965,928148,874505.4,732719,802604.4,845193.99,864853.59,786501.32,737239.21,658274,758828.84,770484.05,809087.74
"Corporate Fund",23,"Enterprise Technology","Enterprise Technology",,"This department merged for FY2011 into Department of IT Solutions and Services (016)","President",,,,,,,1628544,2155600,2345884,2255628,2268617,2440254,1994715,1955019,1568737,1550400,1642844,1297496,0,,,,,,,,,,,,,1099648,1547516.52,1611403,1731863,1445381.78,2157227,1688514,1759646.27,1602441,1248589.01,1179504.31,1137286.64,,,,,,
"Corporate Fund",26,"Administrative Hearing Board","Adminitrative Hearings","https://www.cookcountyil.gov/agency/department-administrative-hearings-0","Administrative Hearings administers the adjudication process for the Revenue Department as well as departments including Building and Zoning, Environmental Control,  Animal Control and the Sheriff.","President",,,,,,,,,,,,,,,,,443758,927010,951954,995750,1223074,1232356,1240008,1315813,1475167,,,,,,,,,,,,,,,,,445704.46,841542.49,998888.3,1081774.25,1152272.6,1127155.95,1143085.67,1256610.04
"Corporate Fund",27,"Office of Economic Development","Economic Developmment","https://www.cookcountyil.gov/bureau-of-economic-development","The Office of Economic Development foster economic development, workforce development and community development within Cook County.","President",,,,,,,,,,,,,,,,,,,,1333423,709684,787462,406838,589779,985463,,,,,,,,,,,,,,,,,,,,838851.9,652131.45,721740.18,433303.67,986795.67
"Corporate Fund",29,"Office of Enterprise Resource Planning (ERP)","Enterprise Resource Planning (ERP)","https://www.cookcountyil.gov/agency/enterprise-resource-planning","Enterprise Resource Planning, or ERP,  is charged with implementing and supporting Countywide financial system projects to improve business operations.","President",,,,,,,,,,,,,,,,,,,,,,,1777124,1646778,1874290,,,,,,,,,,,,,,,,,,,,,,18839.77,1470236.04,1564144.38
"Corporate Fund",30,"County Chief Procurement Office","Procurement","https://www.cookcountyil.gov/procurement","The Office of the Chief Procurement Officer's mission is to procure goods and services required by Cook County Agencies in conformance with all laws and ordinances while obtaining maximum efficiencies and providing greater transparency in a fair and equitable procurement process.","President",2910732,2999794,2851082,2797506,3001718,3078528,2972730,3284587,3526637,3369069,3469850,3433216,2833629,2762037,2024997,2163500,2118432,2279137,2098189,1648867,2466916,2754224,2790064,2923075,3421315,2559685,2680656,2355962,2355746,2521502.59,2525461.73,2822119,3081367.44,3246145,3248574,3190990.63,3180125,2670896,2549132.15,2243500,2158672,2315939.61,1948643.85,1939335,1555488.79,3040460.18,2624425.93,2671035.96,2797778.33
"Corporate Fund",31,"Office of Asset Management","Asset Management","https://www.cookcountyil.gov/agency/bureau-asset-management-4","The Office of Capital Planning & Policy has become the Office of Asset Management as its own bureau in FY2015.","President",558874,631532,1015687,1211089,1305255,1312356,1467885,1726877,1864083,1832320,1891467,1876141,1558201,1640986,1260168,2120600,1897738,2128706,1625873,929707,1113829,1405937,2144221,2251230,3043476,424783,453192,771385,919981,1134266.09,1125226.88,1336713,1578500.69,1626714,1597367,1598935.59,1691073,1546153,1462121.2,1302717,1665987.9,1919414.42,1996539.68,1267423.18,945429.06,1066918.47,1424412.32,1865457.88,2151846.21
"Corporate Fund",32,"Department of Human Resources","Human Resources","https://www.cookcountyil.gov/agency/bureau-human-resources-0","The Department of Human Resources directs and coordinates all human resource activities from those departments under the jurisdiction of the President of the Cook County Board. These activities include, but are not limited to providing and accepting employment applications for jobs currently posted, as well as maintaining an applicant tracking system which monitors the status of job applications which have been filed with the Department.","President",4643983,4351324,4259686,3912035,3999001,4057841,4269183,4504598,4553074,4443139,4423062,4430913,3775539,3811148,3344639,3423800,3264600,3385312,2772606,2998748,3569611,3985686,4170784,4295374,5058482,3080423,3259269,3270767,3464501,3532427.81,3503639.61,3927221,4184692.97,4414916,4204987,4230300.13,4053127,3569802,3441345.64,3103908,3131358.89,3209491.56,3418752.69,2941557.51,2974080.19,3393086.87,4000333.11,4005362.36,4008897.12
"Corporate Fund",40,"County Assessor","Assessor","http://www.cookcountyassessor.com/","The Cook County Assessor's Office is responsible for determining fair assessments on all residential, commercial and industrial property in Cook County. Each parcel is reassessed once every three years. The Assessor's Office also administers a variety of exemptions providing relief to senior citizens and all Cook County Homeowners, as well as incentives encouraging development throughout Cook County.","Assessor",21071782,20381551,21452639,21128613,23813968,23974514,24486793,26885501,28130005,27937965,30575468,30920526,25850013,25331051,22077228,23712800,23691705,27209441,22170253,21582137,22737234,24624799,24438754,24647431,26759757,19706497,20193626,21079576,20924055,22423783.54,21997668.55,23871992,25584283.92,26440039,27210183,28397558.78,29007209,24501126,24183766,21608877,22281397.64,27181085.61,25380951.12,22850880.23,21667543.44,22240078.72,23072443.49,22067770.2,21990175.54
"Corporate Fund",50,"Board of Review","Board of Review","http://www.cookcountyboardofreview.com/","The Board of Review is vested with quasi-judicial powers to hear and decide taxpayer complaints on the value or exempt status of real property, which includes residential, commercial, industrial and condominium property, along with vacant land.","Board of Review",4353778,4409209,4920290,4942188,5624795,6204213,7578876,7985200,8020852,8233662,8544899,8899177,7601734,7416991,6835808,6973600,7185494,8311088,6771874,7679750,8226970,8233141,8506129,8965108,11450557,3599419,3540401,4276742,4450981,4820104.17,5406805.73,6541517,7362453.14,7346646,7680163,8108729.1,8675201,7583620,7384640.47,6754474,7293723.22,7543229.76,8091878.17,6957462.37,7824772.89,8319284.91,8364300.85,8644359.56,9027612.93
"Corporate Fund",60,"County Treasurer","Treasurer","http://www.cookcountytreasurer.com/","The Cook County Treasurer's Office has the primary goals of mailing, collecting, investing, and distributing all real estate taxes for the county of cook. The Treasurer's Office prints and mails the real estate tax bills to the taxpayers of record.","Treasurer",9543307,9535490,9875687,9892418,10495359,10682523,11491108,13326063,14257560,14102105,13829482,13349193,11540109,10757649,9869979,6120500,5899158,5474200,5188503,4853014,3917499,1952814,1305389,1150893,1295513,8967841,9436618,9636886,9379000,9907815.35,10312603.41,11373592,12443899.26,13100351,13066537,13111094.53,13051838,11279565,10461095.35,9631559,6290289.97,5854225.79,5248665.77,4871929.18,4745395.23,3808797.57,1767271.64,1206993.66,1094929.49
"Corporate Fund",70,"County Auditor","Auditor","https://www.cookcountyil.gov/agency/auditor-0","The County Auditor's Office is responsible for auditing the financial records of all County fee departments. The Auditor works with the external auditors on the Countys annual financial audit, and performs audits of information systems in the County.","President",1131097,1096601,1298267,1387423,1600641,1589224,1596115,1664302,1702239,1653786,1654557,1651033,1400784,1353750,1101966,1109600,966771,918433,781115,737420,903832,887093,917145,934930,1156048,1016815,1107704,1176492,1286299,1507111.17,1494894.31,1229834,1299129.1,1456036,1478455,1519691.59,1540794,1299966,1309577.39,1100886,759184.72,782619.47,818846.1,776128.17,731614.21,639720.57,882506.03,813769.17,909587.41
"Corporate Fund",80,"Office of the Independent Inspector General","Inspector General","https://www.cookcountyil.gov/agency/office-independent-inspector-general-0","The mission of the OIIG is to detect, deter and prevent corruption, fraud, waste, mismanagement, unlawful political discrimination and misconduct in the operation of Cook County government.","President",,,,,260575,301288,299391,377067,395272,385224,415688,458543,387804,387804,391824,1078500,1382092,1214465,1572034,1719871,1713509,1772838,1843297,2032335,2141987,,,,,8177.84,258439.08,308793,381186.73,276949,212430,383238.09,401859,386942,387955.45,382709,371936.91,538191.64,889089.11,1024426.89,1261842.58,1347514.14,1722458.74,1596434.9,1857154.62
"Corporate Fund",81,"First District -Office of the County Commissioner","District 1","https://www.cookcountyil.gov/person/richard-boykin","The County Commissioners are elected officials who oversee county activities and work to ensure that citizens concerns are met, federal and state requirements are fulfilled and county operations run smoothly","County Commissioners",,,,,,,,,,,,,,,,391045,396797,434462,360000,359673,358726,358726,386403,378176,400000,,,,,,,,,,,,,,,,394686,395722.43,421458.28,354240.9,354983.82,357471.59,358975.84,340873.66,357793.24
"Corporate Fund",82,"Second District -Office of the County Commissioner","District 2","https://www.cookcountyil.gov/person/robert-b-steele","County Commissioners are elected officials who oversee county activities and work to ensure that citizens concerns are met, federal and state requirements are fulfilled and county operations run smoothly","County Commissioners",,,,,,,,,,,,,,,,395320,393748,395781,360000,359673,358905,358905,385844,394608,400000,,,,,,,,,,,,,,,,359896,389476.33,383931.11,346522.42,355468.82,349134.46,348194.37,366715.44,327011.61
"Corporate Fund",83,"Third District -Office of the County Commissioner","District 3","https://www.cookcountyil.gov/person/jerry-butler","County Commissioners are elected officials who oversee county activities and work to ensure that citizens concerns are met, federal and state requirements are fulfilled and county operations run smoothly","County Commissioners",,,,,,,,,,,,,,,,391120,364831,348624,360000,359007,359007,358820,386050,394608,400000,,,,,,,,,,,,,,,,270749,292463.85,288759.09,238734.9,259518.42,290407.3,306424.16,313642.22,325228.26
"Corporate Fund",84,"Fourth District -Office of the County Commissioner","District 4","https://www.cookcountyil.gov/person/stanley-moore","County Commissioners are elected officials who oversee county activities and work to ensure that citizens concerns are met, federal and state requirements are fulfilled and county operations run smoothly","County Commissioners",,,,,,,,,,,,,,,,390956,368333,371079,360000,358740,358740,358775,386197,396549,400000,,,,,,,,,,,,,,,,357519,362116.9,356383.02,344527.8,351196.69,356854.58,356858.95,361273.27,384797.75
"Corporate Fund",85,"Fifth District -Office of the County Commissioner","District 5","https://www.cookcountyil.gov/person/deborah-sims-0","County Commissioners are elected officials who oversee county activities and work to ensure that citizens concerns are met, federal and state requirements are fulfilled and county operations run smoothly","County Commissioners",,,,,,,,,,,,,,,,390955,406105,432033,360000,359673,358558,358558,386227,397347,400000,,,,,,,,,,,,,,,,395416,431089.08,419016.91,364354.05,357713.2,357609.89,357085.39,378055.47,393687.81
"Corporate Fund",86,"Sixth District -Office of the County Commissioner","District 6","https://www.cookcountyil.gov/person/edward-m-moody","County Commissioners are elected officials who oversee county activities and work to ensure that citizens concerns are met, federal and state requirements are fulfilled and county operations run smoothly","County Commissioners",,,,,,,,,,,,,,,,390712,394103,433607,360000,359673,358583,358583,386375,392987,400000,,,,,,,,,,,,,,,,395323,396967.75,417754.29,345128.68,354675.16,354202.79,351805.93,373004.76,366809.21
"Corporate Fund",87,"Seventh District -Office of the County Commissioner","District 7","https://www.cookcountyil.gov/person/jesus-g-garcia","County Commissioners are elected officials who oversee county activities and work to ensure that citizens concerns are met, federal and state requirements are fulfilled and county operations run smoothly","County Commissioners",,,,,,,,,,,,,,,,379332,472105,474138,360000,358819,359052,359052,386052,396957,400000,,,,,,,,,,,,,,,,376091,461990.74,483765.93,335992.68,341582.85,340367.35,332532.36,370001.52,389334.69
"Corporate Fund",88,"Eighth District -Office of the County Commissioner","District 8","https://www.cookcountyil.gov/person/luis-arroyo-jr","County Commissioners are elected officials who oversee county activities and work to ensure that citizens concerns are met, federal and state requirements are fulfilled and county operations run smoothly","County Commissioners",,,,,,,,,,,,,,,,387955,377122,428833,360000,358904,358919,358847,364350,392596,400000,,,,,,,,,,,,,,,,393013,357426.63,358524.19,316361.15,309742.07,329485.35,310597.72,316495.4,374580.56
"Corporate Fund",89,"Ninth District -Office of the County Commissioner","District 9","https://www.cookcountyil.gov/person/peter-n-silvestri","County Commissioners are elected officials who oversee county activities and work to ensure that citizens concerns are met, federal and state requirements are fulfilled and county operations run smoothly","County Commissioners",,,,,,,,,,,,,,,,386392,380306,363399,360000,358688,358683,358683,386110,395415,400000,,,,,,,,,,,,,,,,392786,381026,354033.28,350162.43,355082.39,357830.38,359578.67,385858.37,369834.11
"Corporate Fund",90,"Tenth District -Office of the County Commissioner","District 10","https://www.cookcountyil.gov/person/bridget-gainer-0","County Commissioners are elected officials who oversee county activities and work to ensure that citizens concerns are met, federal and state requirements are fulfilled and county operations run smoothly","County Commissioners",,,,,,,,,,,,,,,,376520,363975,346585,360000,359115,358928,358903,365075,360003,400000,,,,,,,,,,,,,,,,341532,294854.69,314578.33,314967.33,344657.39,295840.67,296417.49,334176.28,291791.3
"Corporate Fund",91,"Eleventh District -Office of the County Commissioner","District 11","https://www.cookcountyil.gov/person/john-p-daley","County Commissioners are elected officials who oversee county activities and work to ensure that citizens concerns are met, federal and state requirements are fulfilled and county operations run smoothly","County Commissioners",,,,,,,,,,,,,,,,649050,560961,534948,500606,499597,499597,499597,507510,503076,400000,,,,,,,,,,,,,,,,373517,384495.02,378687.56,279479.41,265893.83,262906.36,264713.63,262891.78,200051.85
"Corporate Fund",92,"Twelfth District -Office of the County Commissioner","District 12","https://www.cookcountyil.gov/person/john-fritchey","County Commissioners are elected officials who oversee county activities and work to ensure that citizens concerns are met, federal and state requirements are fulfilled and county operations run smoothly","County Commissioners",,,,,,,,,,,,,,,,382982,350122,334649,360000,359154,358757,358757,386287,395802,400000,,,,,,,,,,,,,,,,339917,306880.01,255586.89,309867.06,336513.27,353688.11,354117.64,297192.19,334001.18
"Corporate Fund",93,"Thirteenth District -Office of the County Commissioner","District 13","https://www.cookcountyil.gov/person/larry-suffredin","County Commissioners are elected officials who oversee county activities and work to ensure that citizens concerns are met, federal and state requirements are fulfilled and county operations run smoothly","County Commissioners",,,,,,,,,,,,,,,,376055,366549,363082,360000,358800,358865,358692,386095,399616,400000,,,,,,,,,,,,,,,,358082,365848.9,356606.1,315471.43,316875.11,339047.55,343505.19,350576.97,366909.52
"Corporate Fund",94,"Fourteenth District -Office of the County Commissioner","District 14","https://www.cookcountyil.gov/person/gregg-goslin","County Commissioners are elected officials who oversee county activities and work to ensure that citizens concerns are met, federal and state requirements are fulfilled and county operations run smoothly","County Commissioners",,,,,,,,,,,,,,,,442426,428474,409083,360000,358808,358732,358732,386164,398182,400000,,,,,,,,,,,,,,,,327903,330786.74,353448.99,318552.07,340279.75,342038.57,344881.36,353538.06,361351.19
"Corporate Fund",95,"Fifteenth District -Office of the County Commissioner","District 15","https://www.cookcountyil.gov/person/timothy-o-schneider","County Commissioners are elected officials who oversee county activities and work to ensure that citizens concerns are met, federal and state requirements are fulfilled and county operations run smoothly","County Commissioners",,,,,,,,,,,,,,,,390955,372942,356328,360000,358856,358824,358824,386544,393986,400000,,,,,,,,,,,,,,,,337060,356897.39,314479.91,336783.08,355168.02,342249.5,334299.3,282724.88,239093.75
"Corporate Fund",96,"Sixteenth District -Office of the County Commissioner","District 16","https://www.cookcountyil.gov/person/jeffrey-r-tobolski","County Commissioners are elected officials who oversee county activities and work to ensure that citizens concerns are met, federal and state requirements are fulfilled and county operations run smoothly","County Commissioners",,,,,,,,,,,,,,,,393730,324865,331353,360000,358873,358835,358835,386364,397547,400000,,,,,,,,,,,,,,,,328079,327471.21,334358.67,330526.3,337185.21,341627.12,321114.72,339495.24,360786.18
"Corporate Fund",97,"Seventeenth District -Office of the County Commissioner","District 17","https://www.cookcountyil.gov/person/sean-m-morrison","County Commissioners are elected officials who oversee county activities and work to ensure that citizens concerns are met, federal and state requirements are fulfilled and county operations run smoothly","County Commissioners",,,,,,,,,,,,,,,,386590,376913,378946,360000,359673,358778,358846,386068,398993,400000,,,,,,,,,,,,,,,,388805,377514.73,366735.79,348344.67,358726,357594.91,358204.26,375898.26,392500.18
